REEF_NAME,REEF_ID,Latitude,Longitude
(LITTLE) BROADHURST REEF,18106,-18.9666666666667,147.7
10351S,10351,-10.7333333333333,143.191666666667
10352S,10352,-10.7333333333333,143.333333333333
10386S,10386,-10.725,143.983333333333
11049S,11049,-11.3583333333333,143.333333333333
11162S,11162,-11.6,143.291666666667
11229A,11229,-11.8333333333333,143.833333333333
12042S,12042,-12.1,143.783333333333
12068S,12068,-12.4416666666667,143.733333333333
12071S,12071,-12.4833333333333,143.75
12097S,12097,-12.5666666666667,143.766666666667
12116S,12116,-12.7833333333333,143.791666666667
12137S,12137,-12.9583333333333,143.825
13040S,13040,-13.2666666666667,143.941666666667
13055S,13055,-13.3333333333333,143.775
13063S,13063,-13.4166666666667,143.816666666667
13093A,13093,-13.7583333333333,143.991666666667
13119S,13119,-13.6833333333333,144.166666666667
13121S,13121,-13.7833333333333,144.266666666667
13124S,13124,-13.8666666666667,144.091666666667
14043S,14043,-14.175,144.816666666667
14056S,14056,-14.325,144.958333333333
14062S,14062,-14.375,144.975
14075S,14075,-14.2833333333333,145.175
14133S,14133,-14.9166666666667,145.516666666667
15022S,15022,-15.1,145.625
15023S,15023,-15.1,145.666666666667
15034S,15034,-15.3166666666667,145.766666666667
15037S,15037,-15.3333333333333,145.75
15043S,15043,-15.4333333333333,145.508333333333
15047S,15047,-15.4666666666667,145.683333333333
15070S,15070,-15.5,145.616666666667
15077S,15077,-15.5583333333333,145.65
16013A,16013,-16.0133333333333,145.791666666667
16013B,16013,-16.0133333333333,145.8
16013C,16013,-16.03,145.803333333333
16017S,16017,-16.0833333333333,145.725
18022S,18022,-18.125,146.758333333333
18023S,18023,-18.1416666666667,146.975
18025S,18025,-18.2666666666667,146.908333333333
18026S,18026,-18.3333333333333,146.741666666667
19051S,19051,-19.1166666666667,148.7
19066S,19066,-19.3416666666667,148.633333333333
19078S,19078,-19.2166666666667,149.091666666667
19119S,19119,-19.55,149.383333333333
19123S,19123,-19.5916666666667,149.233333333333
19124S,19124,-19.575,149.491666666667
19129S,19129,-19.75,149.3
19131S,19131,-19.7666666666667,149.366666666667
19138S,19138,-19.8083333333333,149.425
19152S,19152,-19.6333333333333,149.875
19188S,19188,-19.7833333333333,149.758333333333
19194S,19194,-19.825,149.775
19198S,19198,-19.8833333333333,149.716666666667
19227S,19227,-19.975,150.35
19228S,19228,-19.9916666666667,150.241666666667
20103S,20103,-20.0166666666667,149.833333333333
20104S,20104,-20.0333333333333,149.683333333333
20114S,20114,-20.0083333333333,150.258333333333
20348S,20348,-20.8916666666667,150.958333333333
20352S,20352,-20.95,150.658333333333
20353S,20353,-20.9666666666667,150.916666666667
20354S,20354,-20.975,150.95
21060S,21060,-21.0166666666667,150.608333333333
21062S,21062,-21.0333333333333,150.866666666667
21064S,21064,-21.0583333333333,150.775
21068S,21068,-21.1333333333333,150.833333333333
21074S,21074,-21.1583333333333,150.85
21076S,21076,-21.1916666666667,150.875
21082S,21082,-21.25,150.9
21104S,21104,-21.1,151.241666666667
21137S,21137,-21.4,151.416666666667
21139S,21139,-21.475,151.475
21140S,21140,-21.4833333333333,151.283333333333
21155S,21155,-21.1666666666667,151.691666666667
21179S,21179,-21.35,151.725
21186S,21186,-21.4166666666667,151.791666666667
21187S,21187,-21.4166666666667,151.641666666667
21190S,21190,-21.45,151.916666666667
21198S,21198,-21.05,152.208333333333
21200S,21200,-21.0666666666667,152.233333333333
21209S,21209,-21.1,152.258333333333
21215S,21215,-21.1166666666667,152.316666666667
21217S,21217,-21.125,152.466666666667
21219S,21219,-21.1416666666667,152.183333333333
21230S,21230,-21.1916666666667,152.333333333333
21234S,21234,-21.2166666666667,152.241666666667
21245S,21245,-21.3083333333333,152.441666666667
21262S,21262,-21.4166666666667,152.45
21266S,21266,-21.4416666666667,152.116666666667
21274S,21274,-21.0416666666667,152.625
21278S,21278,-21.1083333333333,152.55
21281S,21281,-21.1166666666667,152.633333333333
21285S,21285,-21.1416666666667,152.541666666667
21286S,21286,-21.175,152.516666666667
21294S,21294,-21.3,152.6
21296S,21296,-21.3416666666667,152.55
21302S,21302,-21.4333333333333,152.575
21433S,21433,-21.55,151.475
21450S,21450,-21.6333333333333,151.625
21464S,21464,-21.7583333333333,151.775
21465S,21465,-21.8083333333333,151.875
21467S,21467,-21.8833333333333,151.925
21529S,21529,-21.8666666666667,152.175
21540S,21540,-21.9083333333333,152.475
21542S,21542,-21.925,152.466666666667
21544S,21544,-21.925,152.1
21550S,21550,-21.9583333333333,152.316666666667
21551S,21551,-21.9583333333333,152.05
21557S1,21557,-21.9833333333333,152.458333333333
21558S,21558,-21.5583333333333,152.541666666667
21583S,21583,-21.9416666666667,152.655
21591S,21591,-21.0258333333333,150.373
22084S,22084,-22,152.458333333333
22087S,22087,-22.025,152.275
22095S,22095,-22.1,152.358333333333
22108S,22108,-22.0666666666667,152.633333333333
22110S,22110,-22.0666666666667,152.595
22112S,22112,-22.0833333333333,152.591666666667
22113S,22113,-22.0916666666667,152.641666666667
22114S,22114,-22.1,152.616666666667
22117S,22117,-22.1216666666667,152.608333333333
22118S,22118,-22.125,152.625
22123S,22123,-22.15,152.6
22139S,22139,-22.2666666666667,152.6
22143S,22143,-22.325,152.725
22144S,22144,-22.3333333333333,152.666666666667
ABOTT REEF,19222,-19.9333333333333,150.333333333333
ABRAHAMS REEF,22093,-22.1,152.491666666667
ADELAIDE REEF,17042,-17.65,146.475
AGINCOURT REEFS (NO 1),15099,-16.05,145.858333333333
AGINCOURT REEFS (NO 3),15099,-15.9916666666667,145.825
AGINCOURT REEFS (NO 4),15096,-15.95,145.816666666667
ANDERSEN REEF,15090,-15.7916666666667,145.8
ANZAC REEFS (NO 2),18089,-18.725,147.891666666667
ANZAC REEFS (NO 3),18090,-18.7333333333333,147.841666666667
ARAB REEF,18040,-18.4166666666667,147.133333333333
ARC REEF,18070,-18.5,147.441666666667
ARLINGTON REEF,16064,-16.7166666666667,146.066666666667
ASHMORE BANKS (1),11237,-11.8851666666667,143.629333333333
ASHMORE BANKS (2),11237,-11.88,143.709833333333
ASHMORE BANKS (3),11237,-11.9266666666667,143.688166666667
BACCHI CAY,21495,-21.6333333333333,152.4
BAIT REEF,19137,-19.8083333333333,149.075
